         /\\\\            /\\\\  /\\\\\\\\\\\\     /\\\\\\\\\\\\\\\  /\\\\\\\\\\\
         \/\\\\\\        /\\\\\\ \/\\\////////\\\  \/\\\///////////  \/////\\\///
          \/\\\//\\\    /\\\//\\\ \/\\\      \//\\\ \/\\\                 \/\\\
           \/\\\\///\\\/\\\/ \/\\\ \/\\\       \/\\\ \/\\\\\\\\\\\         \/\\\
            \/\\\  \///\\\/   \/\\\ \/\\\       \/\\\ \/\\\///////          \/\\\
             \/\\\    \///     \/\\\ \/\\\       \/\\\ \/\\\                 \/\\\
              \/\\\             \/\\\ \/\\\       /\\\  \/\\\                 \/\\\
               \/\\\             \/\\\ \/\\\\\\\\\\\\/   \/\\\\\\\\\\\\\\\  /\\\\\\\\\\\
                \///              \///  \////////////     \///////////////  \///////////
			MULTI		   DIMENSIONAL 		ETERNO 	       INFINITO

ELIMINA EL ULTIMO PARENTESIS ) DEL LINK, NO ES PARTE DE EL

UNETE A NOSOTROS, AYUDEMOS A LA SOCIEDAD.
COMPARTE ESTE ARCHIVO LO MAS QUE PUEDAS.
https://www.facebook.com/groups/1222842638483075
https://t.me/MDEI_ORG


	ALERGOLOGIA - INFECTOLOGIA (folder)
		Atlas de Anatomía Humana - Rohen Yokochi 6ed.pdf (62.29 MB, shared as exported permanent file link: https://mega.nz/file/T0JVkSDR#4cs61wryA5zy78lG1aNzOk790UUL51digCW0PX2rhIo)
		atlas_anatomia_yokochi_fotografico_3ed.pdf (17.56 MB, shared as exported permanent file link: https://mega.nz/file/K15CFDRT#0_GkiaWeubZbHDpImZVv8Ovwdx-dDl5Fd6jGc_trr_I)
		Compendio de Anatomía Descriptiva - Testut, Latarjet.pdf (90.93 MB, shared as exported permanent file link: https://mega.nz/file/W84mGJrR#jrKWwOmGepVPaKu2UyIrTXoxvVs2sXeOOJRm-fxOuRQ)
		CTO España. 11ra ed. Anatomía Humana.pdf (3.42 MB, shared as exported permanent file link: https://mega.nz/file/ew5lBC4L#gjmyuSd9IylXJZcUjqtjt--fvItvhjXR9t5eHRnnnsQ)
		Frank H. Netter_s Anatomy Flash Cards (3rd Ed.).pdf (13.19 MB, shared as exported permanent file link: https://mega.nz/file/ygRDBTTB#pSMXRO35c2f7eud6vL-DbR3-qYduGUnVIHL0BL6LaDs)
		Glosario De Términos Anatómicos.pdf (157.97 KB, shared as exported permanent file link: https://mega.nz/file/CkAmXbhJ#kGjbD0CWXrO15ocFGdv7tMPMfJwI7UAiqw0Y1t5W3yM)
		Grays Anatomy for Students.pdf (189.93 MB, shared as exported permanent file link: https://mega.nz/file/qtQAUTbB#DTsgKmZRL2a7Aq2Dw0uHkwG_rMMWpODFlbn_kvVbP-A)
		Latarjet - Ruiz Liard Anatomia Humana 5a Edicion T1.pdf (77.72 MB, shared as exported permanent file link: https://mega.nz/file/ahYClRAC#ucgiYChbMDD8FGu3ugjZvT2976yMQsXXfTKLEYaCeC4)
		Latarjet - Ruiz Liard Anatomia Humana 5a Edicion T2.pdf (84.28 MB, shared as exported permanent file link: https://mega.nz/file/jhJx3JjK#OSx2QrecujdS0jkVU_oFWPBpXvJYewTvjHMFTeOEm4E)
		LIBRO PARA COLOREAR NETTER.pdf (24.56 MB, shared as exported permanent file link: https://mega.nz/file/7sgTwAhT#qz0Bb6uzefzf2lDuOUEQjw5W2EZcy6sT7bNcKwTrfbo)
		Manual CTO 6ed - Anatomía.pdf (4.14 MB, shared as exported permanent file link: https://mega.nz/file/PtBHTJpA#wy3sP4rMch-Y3cH8ujc6FpOiH_mr9pfodrN-Wiy9dZ0)
		Neuroanatomia - Waxman 26ª.pdf (55.11 MB, shared as exported permanent file link: https://mega.nz/file/z95VyRrK#c1y480Vd3wHnlK6qH7ZwWUOlmpya88BEMpnwdAGCik4)
		Neuroanatomia Clinica Snell 7a Edicion.pdf (35.58 MB, shared as exported permanent file link: https://mega.nz/file/z4I0QS7L#0b-UuZ4O6TyhBuTtRXmtYrZbr7aY_DyKuYaNI6_XZk8)
		Principios de Anatomia y Fisiologia  Tortora Derrickson 13a Ed.pdf (62.39 MB, shared as exported permanent file link: https://mega.nz/file/XkQkwY5K#9AcrDlmgDT1gc4cqHA-7ONkymSrIi8WXq06PQFFpOaw)
		ROUVIERE Anatommia 11va Ed.pdf (37.88 MB, shared as exported permanent file link: https://mega.nz/file/H8IAmSYR#7HTcA3lf4VuagyvjFg4amL6RlUDt1b_TxnKXfsUh2Ts)
		Snells Clinical Anatomy by Regions 10th ed.pdf (261.92 MB, shared as exported permanent file link: https://mega.nz/file/ash1SRKS#k_uBfNSrNbCm1uckh_EWpEzgoSYKIDrc8dg-PhFFwDw)
		Sobotta General Anatomy and Musculoskeletal System 16th Edition.pdf (135.55 MB, shared as exported permanent file link: https://mega.nz/file/i4w2CJ5b#viQ25FaQ8OlVei2tfPdBnMUL2VPu_xTD2KvKO_dUpZU)
		Sobotta Head, Neck and Neuroanatomy 16th Edition.pdf (163.42 MB, shared as exported permanent file link: https://mega.nz/file/j8511Tya#0ggVItgsxphE05zXSG1TrMECWVC1mcT5cNhlWY7HD4s)
		Sobotta Internal Organs 16th Edition.pdf (107.83 MB, shared as exported permanent file link: https://mega.nz/file/PgAxkBQL#Y5fuNkUUBe5_FECHf2QNb0m7UmBLfPZ0RIiCoug_IVg)
		Tomo 1 Tratado de anatomia humana Quiroz.pdf (40.84 MB, shared as exported permanent file link: https://mega.nz/file/SsBwCBLT#JX9VsmPgPpk4JgP-4TDTo-zsya2SKzhXyfytFF4aYN0)
		Tomo 2 Tratado de anatomia humana Quiroz.pdf (42.82 MB, shared as exported permanent file link: https://mega.nz/file/rtwUWAgK#5XIKDAT9Ebd40ieCsgw1A_giyqorDmeukYjLrgAWYWs)
	ANESTESIOLOGIA (folder)
		Analgesia, Anestesia y Reanimacion en Obstetricia_booksmedicos.org.pdf (313.37 MB, shared as exported permanent file link: https://mega.nz/file/XookTApT#SltZplFNaqajXCNmAXmCeSy19bGiVoHrhD2aAV5t7Kc)
		Anestesiología Clínica - Cabo, Gómez, Álvarez.pdf (4.82 MB, shared as exported permanent file link: https://mega.nz/file/OkYzWbbD#0Bs3EluWW1jk8DWYOpJF87EUM30XLdxnlfA2SaCieX4)
		Anesthesia_Review_1000_Questions_and_Answers_to_Blast_the_Basics.pdf (11.16 MB, shared as exported permanent file link: https://mega.nz/file/e0giAbQQ#jqHxJbe8MGJOkECxWAC41qLrhx6MApMxWZWQZo6lPUw)
		CTO España. 11ra ed. Anestesiología..pdf (7.67 MB, shared as exported permanent file link: https://mega.nz/file/P14H1aya#k4d76OZ8b4hhok8YUVm6F7yVQt-IcJhEyFtctlFkh9E)
		El ABC de la Anestesia - Luna, Hurtado, Romero.pdf (5.55 MB, shared as exported permanent file link: https://mega.nz/file/ygZxUIgR#lGTwsLSMrAOne4WHdPrzvlv_8zbiAWkWRkHCwYgFvwQ)
		Manual Walls para el manejo urgente de la via aerea 5a Edicion.pdf (14.04 MB, shared as exported permanent file link: https://mega.nz/file/CsQ1wD5A#uYE488FtPQ2L5WPBD5GFZre0dULnlKvizG4HQB3Vgjg)
		Morgan & Mikhails Clinical Anesthesiology 6th Edition (1).pdf (32.73 MB, shared as exported permanent file link: https://mega.nz/file/L8xiHLrJ#h7_jXXO_d2QiXzR1pePzWvqnzn8_spuW7tg9W0uxAb8)
		Temas Selectos en Anestesia - Carvajal, Ocampo, Reyes.pdf (5.29 MB, shared as exported permanent file link: https://mega.nz/file/ql5VBDAB#y_vmmK8t6qcbRHXvzV6HWow3C0LTmxYK3GZ0vdph4cQ)
	BIOQUIMICA - QUIMICA (folder)
		Bioquimica Basica. Herrera.pdf (23.35 MB, shared as exported permanent file link: https://mega.nz/file/GtxRSDDK#ErwQkUE6k7xrJWThQfQAz_bTyGm35VBZ-9P4mN4Z728)
		Bioquimica de Laguna y Piña 8a Edici.pdf (44.72 MB, shared as exported permanent file link: https://mega.nz/file/j4JlALRI#giBDUkgaVLM_TvUxiKf9voorP0n6cJZUG9UYjh1jmco)
		Bioquimica_Basica._Herrera.pdf (23.35 MB, shared as exported permanent file link: https://mega.nz/file/igRGzTjC#ricIH6eiEvG4z1A72DTZTiqzJErqjuc_GW_9XKkmUQA)
		BIOQUIMICA_ILUSTRADA.pdf_versi_n_1.pdf (16.99 MB, shared as exported permanent file link: https://mega.nz/file/r5AmAAKY#5ekARR3UKn0VWublQg1ASyc9Vdopthkk6H--kedDkwQ)
		Bioquimica_medica_Tomo_III.pdf (11.40 MB, shared as exported permanent file link: https://mega.nz/file/TpQS0BxQ#67cgLg0i5tmSg3g0_Pt0JJHdpfO1I-F-C4eLDSxHkcE)
		BioquimicaYBiologiaMolecularParaCienciasDeLaSalud.pdf (22.68 MB, shared as exported permanent file link: https://mega.nz/file/a4Il3bZJ#Jm0R-r8XyM_erSJsqixsNZRoo0QLyniReXnPO0Bxr7E)
		Harpers Bioquimica Ilustrada 30a Edicion.pdf (83.81 MB, shared as exported permanent file link: https://mega.nz/file/qphikbRQ#a26eUH_z1MXv6j9JqlcghUgs36kHGMtyRJg8Z82vD-c)
		Harpers Bioquimica Ilustrada 30a Edicion.pdf (83.81 MB, shared as exported permanent file link: https://mega.nz/file/mk5z0DLD#EIgU7OXiNj2a9z4Emq-oISXnDb2qcIS-1il1OxdZG48)
		john_mcmurry_quimica_organica_5ed.pdf (154.52 MB, shared as exported permanent file link: https://mega.nz/file/OwQGlTzS#3v773U85RqaXN3FBR6qpinxzcm-33HucTIDu-ZYjr3U)
		Lehninger.Principios.de.Bioquimica.5a.pdf (240.62 MB, shared as exported permanent file link: https://mega.nz/file/CwwTiKyI#ZDHnMAL1eBoJJubBRrr1IoW40H_5xPMo0Jj3h0mIdUI)
		Preguntas de examen de Bioquimica Clinica.pdf (3.47 MB, shared as exported permanent file link: https://mega.nz/file/Og5xjbIJ#In_Vg9p77jKgmsqHoddidbJVvpgqYJtN7xQOBRewdMY)
		Química Biología - Antonio Blanco.pdf (67.95 MB, shared as exported permanent file link: https://mega.nz/file/jpZAEIbJ#eM5NVYWNS7juN5-rYgDEIaKrJ9_aC4DIty8WLQtq0UQ)
		Química Chang 7ed.pdf (26.99 MB, shared as exported permanent file link: https://mega.nz/file/y8JHSCyb#RjIWr8YS6KAsHjJf8c31OUvG_jpIRkr7xUEfst8tGRg)
		Química Física 6a edición - Athkis.pdf (70.26 MB, shared as exported permanent file link: https://mega.nz/file/ShoinabK#aPZEbBOVfncKxHVIQ6QUD4WMWH9_GNqK4WUTKBJ5p14)
		Química inorgánica 4a edición - James E..pdf (87.14 MB, shared as exported permanent file link: https://mega.nz/file/b4oWXY7b#6vPtuz5dV84HiTH86Q1t8pFbkFg6sUeqPFQzofCvkBQ)
	CARDIOLOGÍA (folder)
		Braunwald Tratado de Cardiologia 11a Edicion.pdf (426.60 MB, shared as exported permanent file link: https://mega.nz/file/HspHSQCZ#-qA5IdoZ9bS1oBb-xr9CxO9ZX7xZKUkqynSFpgquDrY)
		BRAUNWALD Tratado de Cardiologia texto de medicina cardiovascular 10a ED.pdf (1484.33 MB, shared as exported permanent file link: https://mega.nz/file/m8phFByB#NnT6vgBC23OSdbRefq25wgi2XYWBhZNlgIG0z6Yvn2c)
		Braunwald. Cardiologia en Atencion Primaria 11a Edicion.pdf (22.17 MB, shared as exported permanent file link: https://mega.nz/file/Owwz3RaT#vUrT3w-TB6_QS-TfjatBbqBZx9dymZaIUVOuEOkY0Z8)
		Cardiologia Pediatrica Practica.pdf (29.60 MB, shared as exported permanent file link: https://mega.nz/file/2wAHWAwL#Wk230EI3Sda4e_SH9WZu_qe7jGbQ0zjao36bMibxqeg)
		Cardiologia_AMIR_6_ed.pdf (11.51 MB, shared as exported permanent file link: https://mega.nz/file/XhBEjSaS#Pz9tQBb5Qr0N4ImthnNuLljKXBSBVuDqUWovYI6lyZ8)
		Cardiología Guía rapida.pdf (10.67 MB, shared as exported permanent file link: https://mega.nz/file/n8QUmJTb#1BVr_JQHJtaEkFh4PoKKNc2ARN6kEmLRrLEhF0VT7Gc)
		Cardiovascular Physiology 9th Edition.pdf (9.43 MB, shared as exported permanent file link: https://mega.nz/file/P9xghC6Y#8y1ZHgd1MWlY60f_TMN0dYDCUw2S6dWIRCAZSiovCEs)
		CTO España. 11ra ed. Cardiología y Cirugía Vascular.pdf (33.88 MB, shared as exported permanent file link: https://mega.nz/file/6wYG1JYT#C2yLCbT2gU7NeLzmX_0wdl6tJFBP5cdjUWEt25pbmtE)
		De Bolsillo, Atención Cardiovascular de Emergencia - American Heart Association 2010.pdf (76.94 MB, shared as exported permanent file link: https://mega.nz/file/e5J2Bbjb#-R0rukrHnGVowpXr3vxZUsm0DMBZ__6muAOBeUROfDU)
		Lange - Fisiología Cardiovascular  6ed.pdf (3.31 MB, shared as exported permanent file link: https://mega.nz/file/u8QjFQAa#WetrX2exwbkUlvTLRshgAJET-YYFqmbxAW7HjHYrxYQ)
		Manual CTO 6ed - Cardiología y cirugía cardiovascular.pdf (7.01 MB, shared as exported permanent file link: https://mega.nz/file/TpoR1Y6Z#QI_EOBAGwaekihDRuBL0NTUdKlB5DGZyXSpIOdeUtmk)
		Manual de Urgencias Cardiovasculares - Instituto Nacional de Cardiología ''Ignacio Chávez'' 3ed.pdf (6.95 MB, shared as exported permanent file link: https://mega.nz/file/6gIjgDJI#IXRJ_I-8mtPkWXwL09KbkuZUulAPXyc331mBRIH3xb4)
		Manual Washington de Especialidades Clinicas Cardiologia.pdf (17.55 MB, shared as exported permanent file link: https://mega.nz/file/CoQkTQyT#lokBeEcEB9yB7xwnkvPt_Qtbh8-688VHpL-MGII7Bqs)
		Manual Washinton de Cardiologia.pdf (23.95 MB, shared as exported permanent file link: https://mega.nz/file/GtxRVRJS#mVJ3UxQNLl5vE-T-edUIEHGLFbvfvw-dnJrj1pUlsmw)
		Netter Cardiologia.pdf (34.96 MB, shared as exported permanent file link: https://mega.nz/file/XkBjWILT#8v3x42SIOuK5AWB9pX_pctzP1xMHRASUB8xqrBM17A0)
		placa ateromatosa.pdf (154.02 KB, shared as exported permanent file link: https://mega.nz/file/Tx4G0abT#ck007OS7Bo2MVzRoKGYSbmXxzrFi_bhrY-QsljEC5P8)
	CIRUGIA (folder)
		Atlas de tecnicas de suturas.pdf (31.59 MB, shared as exported permanent file link: https://mega.nz/file/Dg52FZyQ#jjABXD8Sz3Rmos1548FdXPxNrzuGOe1uOgjqUQMLO98)
		Cirugía Manual mapas conceptuales.pdf (10.13 MB, shared as exported permanent file link: https://mega.nz/file/Sw5HQIBT#6K-tolV1Fp0zF9k0szXzzyfwVxw91yWT0Eauffkj4fk)
		Cirugía Menor - Junta de Castilla y León.pdf (3.79 MB, shared as exported permanent file link: https://mega.nz/file/qkYEDKJB#BVWuECM8YRtJ6Z36Q16tcpkb0V1dpfj3ixaQQNEi58g)
		Cirugía pediatría (1).pdf (34.81 MB, shared as exported permanent file link: https://mega.nz/file/K8IW3DCJ#GSI8i-zoGpMBL61hu1dbyEGlBm9AApayko7j0rRAM0Y)
		Clasificacin Suturas.pdf (399.83 KB, shared as exported permanent file link: https://mega.nz/file/DhAmzBDZ#rg6npxUjLSSXykzXMSzRmx2I2FxDkgr5hjbxJoDsfIE)
		CTO España. 11ra ed. Cirugía General.pdf (19.97 MB, shared as exported permanent file link: https://mega.nz/file/2g50TJpA#6s59xKZ7zd2j4NnXwzvJG_IeY4zkf8eXaZrkk24sj6Y)
		Cuaderno de Nudos - Torres Recio.pdf (2.71 MB, shared as exported permanent file link: https://mega.nz/file/28ADhYab#ImcG4-iiMqKUVNjfLzjXc3Rv7RXFWdo7i2l5pYCKDc8)
		Fischers Mastery of Surgery 7th Edition.pdf (317.97 MB, shared as exported permanent file link: https://mega.nz/file/j5pCXRCJ#MJUAy0xmNzPtVOMCIa0cFG7c4WPGz_dXwhGQ5kr-H5Q)
		Infecciones Quirurgicas 2a Edicion.pdf (17.03 MB, shared as exported permanent file link: https://mega.nz/file/vhpG0LQa#IlzX6KDHJYfhxY13XUqbGNDG90NqISNAa_pzAsxwpa4)
		Instrumental Quirurgico 2a Edicion_booksmedicos.org.pdf (33.95 MB, shared as exported permanent file link: https://mega.nz/file/qtpDQb7K#P8KgegV0XnDcsVKhh-paCNYIngmwAWypZ993mcBYCuo)
		Instrumental-Quirúrgico-Renee-Nemitz..pdf (13.36 MB, shared as exported permanent file link: https://mega.nz/file/H8pgwCQJ#YK_RZhJwPNrQ580eUTWxM1nUjut6FBCqcvy4ExnD1tc)
		Introduccion a la Neurocirugia_booksmedicos.org.pdf (7.41 MB, shared as exported permanent file link: https://mega.nz/file/KxQDxAqb#saFK8lf-Ye1nLM1rrY9KWoTO_4ikneyHC0dOSWA5G1g)
		Liquidos y Electrolitos en Cirugia - Guzmán, Carrioza, Vergara, Jiménez.pdf (33.32 MB, shared as exported permanent file link: https://mega.nz/file/msJmnKjT#n5MdMwja9JxXxyLKXByaIEVgu9WG_Qo20Q91AaEJtxo)
		Manual AMIR Neumologia y Cirugia Toracica 6ed.pdf (7.53 MB, shared as exported permanent file link: https://mega.nz/file/71h3RIJC#JOsVYko3QIdMDYbSMqq8j1f0Q1tGgz5BUP5rc45n7HY)
		Manual CTO 6ed - Digestivo y cirugía general.pdf (4.29 MB, shared as exported permanent file link: https://mega.nz/file/GhQVFIjB#7movlchoQzzcIinII3C-j16wyy9zai79-WIcGgKR_Ow)
		Manual de Nudos Quirúrgicos -  Ethicon.pdf (16.41 MB, shared as exported permanent file link: https://mega.nz/file/u4YWiBwI#Ge4BL-lvoksGbwZRxGJ4O4qhDBSOMyxKVry8uUe957Q)
		Manual de Suturas.pdf (2.84 MB, shared as exported permanent file link: https://mega.nz/file/2lIi3Y6S#bfisTS1op8IQCQPKqE2hb5sVfbN3ibYzUZDA4ZiCunI)
		Manual de tecnicas quirurgicas_.pdf (11.33 MB, shared as exported permanent file link: https://mega.nz/file/O1J1AACa#PopqmfV05hm62fdEhVS-T1eedSBNoCF92_fdFP_bb3E)
		Manual Johns Hopkins de Procedimientos en Cirugia Cardiaca 2ª Edicion.pdf (145.54 MB, shared as exported permanent file link: https://mega.nz/file/uxQSSCCQ#rj1sk89k60U0IVJgKl96ePhgfzRhrbUp8a_zEw_EVB0)
		Neurocirugia_Elemental_Calatayud_2a_Ed_booksmedicos.org.pdf (17.11 MB, shared as exported permanent file link: https://mega.nz/file/L0ggDA7Q#vPIq_70Qbw7A8YJXUxjxuIoB9OqO4h4xz6KpOFWzGHo)
		Sabiston. Tratado de cirugia 20a Edicion_booksmedicos.org.pdf (376.71 MB, shared as exported permanent file link: https://mega.nz/file/38gTURZC#45Vuqw-uejsOZeM_cRrm0iF1RPNNVeDjFbgd0Ywe3oQ)
		Schwartzs Principles of Surgery 11th Edition.pdf (159.38 MB, shared as exported permanent file link: https://mega.nz/file/zwhw2KRQ#wpnvOMzS-nIrb8LpKiBJYvXLIBADx7RYAT5mmmrJxn0)
		Skandalakis Cirugia.pdf (274.86 MB, shared as exported permanent file link: https://mega.nz/file/XlI1BIoL#KcMmSoJfcfqdZGBeWw27APtqUvcbmt0dyveDqebFi4k)
		Surgical Techniques.pdf (6.57 MB, shared as exported permanent file link: https://mega.nz/file/ukg0yTpA#oEmgWwAKod8XO2TrvsVNJg6aDO2aS_3PPEjyAX8265I)
		Suturas - Jordi Mas.pdf (2041.25 KB, shared as exported permanent file link: https://mega.nz/file/3lpizILY#zjPRKzY5QzncqP84_fqBIla6N3zbGc8XY9kI8arNqH4)
		SUTURAS.pdf (1440.71 KB, shared as exported permanent file link: https://mega.nz/file/Pt5UQTwC#V4GRG3FM6Sxx0suWqCmbuFWZ7teZGKAOvR3jKgiNMQk)
		Trauma Toracoabdominal.pdf (837.80 KB, shared as exported permanent file link: https://mega.nz/file/2lx00SQQ#8WAJXPloIUFRfkr_lYCjzJG-hb7A5KqNdNN_izkiyZw)
		Técnicas de Sutura.pdf (312.88 KB, shared as exported permanent file link: https://mega.nz/file/D5ggVZqR#kZrcoYcc76bj_C2-bF0xlvGhxF9SeYONUCeUFRB5HFs)
	COVID 19 (folder)
		A pneumonia outbreak associated with a new coronavirus of probable bat origin.pdf (10.36 MB, shared as exported permanent file link: https://mega.nz/file/ypwnQSTK#tD3guQT9G6Hq0NNYmqjHtAgfocSWvxnibjepudSUMmo)
		Atlas de lesiones cutaneas de COVID19.pdf (13.57 MB, shared as exported permanent file link: https://mega.nz/file/j0gjwS4D#2D7vDcraNtBAJqkONljdArKcb9uJM_gj67j1qX7Cj08)
		Clinical, molecular, and epidemiological characterization of the.pdf (5.40 MB, shared as exported permanent file link: https://mega.nz/file/LsAmTYAT#pB72A_dtV2n9x1iX87Vw4zRJu7XjHyQ9cAFUgjOcdJA)
		CONSENSO-COMPLICACIONES-NEUROLOGICAS-COVID19.pdf (399.31 KB, shared as exported permanent file link: https://mega.nz/file/q4JnCbSK#v8AbY_cTCU0wAL3TCMjSHmsaqIu7td9Srvid1ue_WaI)
